koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-1130,b,5.45,0.06,0.80,5403,0.81,146.37
Kepler-1131,b,3.53,0.05,1.59,5851,1.04,541.11
Kepler-1133,b,11.56,0.10,1.97,5569,0.90,73.31
Kepler-1135,b,76.96,0.35,1.85,5656,0.94,6.65
Kepler-1136,b,2.36,0.03,1.64,4512,0.68,177.65
Kepler-1138,b,3.17,0.04,1.70,5582,0.92,427.57
Kepler-1139,b,0.81,0.02,1.19,5550,0.91,2526.60
Kepler-1141,b,2.34,0.03,0.82,5791,1.07,961.84
Kepler-1142,b,18.30,0.13,1.47,5685,0.96,47.70
Kepler-1143,b,2.89,0.04,1.67,5053,0.77,253.21
Kepler-1145,b,3.97,0.05,1.40,5064,0.75,161.23
Kepler-1146,b,2.35,0.03,1.23,4692,0.70,217.32
Kepler-1148,b,1.10,0.02,1.69,5054,0.77,913.28
Kepler-1150,b,2.79,0.04,1.02,4754,0.72,189.79
Kepler-1152,b,1.65,0.02,0.87,3964,0.53,124.43
Kepler-1156,b,11.90,0.10,1.32,5778,1.00,96.14
Kepler-168,b,4.43,0.06,1.46,6282,1.11,548.98
Kepler-169,b,3.25,0.04,1.13,4997,0.76,201.95
Kepler-169,c,6.20,0.06,1.21,4997,0.76,84.06
Kepler-169,d,8.35,0.08,1.25,4997,0.76,57.44
Kepler-171,d,39.60,0.22,1.89,5642,0.84,12.90
Kepler-173,b,4.26,0.05,1.29,6031,0.95,464.97
Kepler-174,c,44.00,0.21,1.49,4880,0.62,4.27
Kepler-176,b,5.43,0.06,1.43,5232,0.89,158.30
Kepler-179,b,2.74,0.04,1.64,5302,0.76,315.99
Kepler-20,b,3.70,0.05,1.87,5495,0.96,351.68
Kepler-20,f,19.58,0.14,1.00,5495,0.96,38.68
Kepler-21,b,2.79,0.04,1.64,6305,1.90,2805.08
Kepler-23,b,7.11,0.08,1.90,5828,1.55,442.10
Kepler-953,c,9.11,0.08,1.19,5416,0.99,107.42
Kepler-1275,b,3.66,0.05,1.48,6296,1.36,1052.41
Kepler-1276,b,12.57,0.11,1.19,6188,1.21,157.60
Kepler-1277,b,40.84,0.23,1.60,5578,0.92,14.22
